City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
259,ceres,37.5949,-120.9577,12.81,86,75,1.54,US,1673993237
260,mutare,-18.9707,32.6709,17.7,98,100,1.84,ZW,1673993238
261,arenal,8.4593,-73.9433,30.71,59,17,1.23,CO,1673993239
262,dourbali,11.8091,15.8632,22.69,20,100,4.58,TD,1673993240
263,apache junction,33.4151,-111.5496,14.32,48,75,7.72,US,1673993079
264,khandbari,27.3747,87.2039,6.59,84,42,1.71,NP,1673993241
265,cockburn town,21.4612,-71.1419,24.04,57,7,5.82,TC,1673993242
266,tiksi,71.6872,128.8694,-29.93,100,100,2.96,RU,1673993243
267,arlit,18.7369,7.3853,16.39,18,1,3.98,NE,1673993244
268,whitehorse,60.7161,-135.0538,-5.11,89,100,0.45,CA,1673993245
269,zaranj,30.9667,61.8833,3.64,76,100,1.63,AF,1673993246
270,gwadar,25.1216,62.3254,19.88,63,16,1.18,PK,1673993247
271,sambava,-14.2667,50.1667,23.97,87,100,4.67,MG,1673993248
272,khrebtovaya,56.7032,104.2494,-25.17,97,100,3.34,RU,1673993249
273,datong,40.0936,113.2914,-13.28,81,6,3.18,CN,1673993250
274,pringsewu,-5.3582,104.9744,22.31,97,78,0.42,ID,1673993251
275,morki,56.4303,48.9947,-10.83,88,100,3.17,RU,1673993252
276,ulaangom,49.9811,92.0667,-23.38,96,100,0.43,MN,1673993254
277,jalesar,27.4833,78.3167,6.29,51,0,2.47,IN,1673993255
278,san policarpo,12.1791,125.5072,25.41,86,92,1.79,PH,1673993256
279,faanui,-16.4833,-151.75,27.16,71,80,5.69,PF,1673993257
280,singaraja,-8.112,115.0882,26.1,84,99,2.07,ID,1673993258
281,saint george,37.1041,-113.5841,6.35,75,100,6.69,US,1673993099
282,hays,30.0502,-98.0336,26.28,65,100,4.02,US,1673993259
283,pathein,16.7833,94.7333,17.61,74,10,2.09,MM,1673993260
284,kahului,20.8947,-156.47,27.76,67,20,3.58,US,1673993261
285,amga,60.8953,131.9608,-49.62,99,100,0.52,RU,1673993262
286,dingle,10.9995,122.6711,23.58,96,100,2.93,PH,1673993263
287,aksarka,66.5606,67.7975,-12.98,94,100,2.93,RU,1673993264
